user_id,module,num_q,r_score,datetime
436076599,ANL303,10,0,1/11/2019 19:01
27434070,ANL305,10,1,1/11/2019 19:50
245439523,ANL305,10,10,1/11/2019 19:50
244400044,ANL303,10,9,1/11/2019 19:50
571453235,ANL305,10,9,1/11/2019 19:50
436076599,ANL303,10,2,1/11/2019 19:54
104024973,ANL321,10,8,1/11/2019 19:51
657674345,ANL305,10,5,1/11/2019 19:54
244400044,ANL305,10,7,1/11/2019 19:55
400002842,ANL303,10,8,1/11/2019 19:51
571453235,ANL321,20,0,1/11/2019 19:54
657674345,ANL321,10,5,1/11/2019 19:57
244400044,ANL321,10,2,1/11/2019 19:57
142406316,ANL321,10,6,1/11/2019 19:53
245445727,ANL321,20,14,1/11/2019 19:50
644120041,ANL321,20,9,1/11/2019 19:55
245445727,ANL303,15,0,1/11/2019 20:06
245445727,ANL303,15,12,1/11/2019 20:07
413825281,ANL303,20,13,1/11/2019 20:05
644120041,ANL321,20,16,1/11/2019 20:05
320224947,ANL321,10,9,1/11/2019 20:14
142406316,ANL303,10,6,1/11/2019 20:18
657189766,ANL321,10,2,1/11/2019 20:20
644120041,ANL303,20,16,1/11/2019 20:18
245445727,ANL303,20,20,1/11/2019 20:24
644120041,ANL305,20,13,1/11/2019 20:24
320224947,ANL303,10,8,1/11/2019 20:23
142406316,ANL321,10,9,1/11/2019 20:22
245445727,ANL321,10,8,1/11/2019 20:37
644120041,ANL321,20,19,1/11/2019 20:43
142406316,ANL321,10,1,1/11/2019 20:48
667408056,ANL321,10,5,1/11/2019 20:35
142406316,ANL321,15,12,1/11/2019 20:57
413825281,ANL321,10,0,1/11/2019 21:07
413825281,ANL303,10,8,1/11/2019 21:10
245445727,ANL321,15,12,1/11/2019 21:36
513504820,ANL305,10,7,1/11/2019 22:13
657189766,ANL303,10,2,1/11/2019 20:21
657189766,ANL303,20,7,1/11/2019 22:27
657189766,ANL305,10,6,1/11/2019 22:29
656956327,ANL303,10,5,1/11/2019 22:24
657189766,ANL305,10,7,1/11/2019 22:30
657189766,ANL303,10,9,1/11/2019 22:32
657189766,ANL305,10,7,1/11/2019 22:34
657189766,ANL305,10,7,1/11/2019 22:36
572983575,ANL321,10,4,1/11/2019 22:41
31049602,ANL303,10,6,1/11/2019 19:50
142406316,ANL303,10,5,2/11/2019 0:54
254707876,ANL321,10,2,2/11/2019 1:55
254707876,ANL305,15,1,2/11/2019 11:06
142406316,ANL321,10,10,2/11/2019 11:39
656956327,ANL321,10,7,1/11/2019 22:48
244400044,ANL305,10,9,2/11/2019 14:44
171913899,ANL303,10,2,1/11/2019 20:41
421228884,ANL321,10,5,1/11/2019 19:53
44987239,ANL303,10,8,2/11/2019 22:48
413825281,ANL303,15,9,3/11/2019 3:10
245445727,ANL303,20,19,3/11/2019 18:30
31049602,ANL321,15,4,1/11/2019 23:21
142406316,ANL321,10,8,4/11/2019 16:08
656956327,ANL321,10,7,4/11/2019 19:33
357808442,ANL321,10,8,1/11/2019 19:52
32269203,ANL303,10,5,1/11/2019 20:34
32269203,ANL321,10,3,6/11/2019 15:17
571453235,ANL321,20,14,6/11/2019 19:09
436076599,ANL305,10,2,7/11/2019 12:08
189211194,ANL321,10,8,6/11/2019 14:21
357808442,ANL303,20,17,8/11/2019 22:29
357808442,ANL321,20,12,8/11/2019 22:43
656956327,ANL303,10,7,8/11/2019 23:46
656956327,ANL303,20,16,8/11/2019 23:50
656956327,ANL321,10,7,8/11/2019 23:58
656956327,ANL321,10,8,9/11/2019 0:07
656956327,ANL303,10,10,9/11/2019 0:29
886328105,ANL321,20,0,9/11/2019 21:20
656956327,ANL303,15,15,10/11/2019 14:49
400002842,ANL303,20,13,10/11/2019 22:31
400002842,ANL303,15,12,10/11/2019 22:37
245445727,ANL303,20,20,11/11/2019 0:56
245445727,ANL321,20,19,11/11/2019 1:00
886328105,ANL303,20,16,11/11/2019 2:10
886328105,ANL303,10,7,11/11/2019 2:18
400002842,ANL303,15,9,11/11/2019 2:48
31049602,ANL303,20,13,11/11/2019 14:20
31049602,ANL303,10,9,11/11/2019 14:29
104024973,ANL303,10,7,1/11/2019 19:56
104024973,ANL303,20,17,11/11/2019 14:52
104024973,ANL321,20,11,11/11/2019 14:57
401749345,ANL303,20,0,11/11/2019 17:38
401749345,ANL303,10,9,11/11/2019 17:41
401749345,ANL303,10,9,11/11/2019 17:46
401749345,ANL303,10,10,11/11/2019 17:51
401749345,ANL303,10,10,11/11/2019 17:58
401749345,ANL303,20,18,11/11/2019 18:00
459561854,ANL303,10,6,11/11/2019 18:20
50347840,ANL303,10,7,11/11/2019 23:45
50347840,ANL303,15,14,11/11/2019 23:50
35646677,ANL303,10,9,12/11/2019 2:17
401749345,ANL303,20,17,12/11/2019 7:02
401749345,ANL303,20,19,12/11/2019 7:10
401749345,ANL303,20,20,12/11/2019 7:15
401749345,ANL303,20,20,12/11/2019 7:18
50347840,ANL305,10,5,12/11/2019 12:38
401749345,ANL321,10,1,12/11/2019 13:38
50347840,ANL305,10,4,12/11/2019 18:40
401749345,ANL321,10,7,12/11/2019 23:26
142406316,ANL321,10,8,13/11/2019 14:46
245445727,ANL321,20,17,13/11/2019 21:38
401749345,ANL321,10,8,13/11/2019 22:07
401749345,ANL321,10,6,14/11/2019 7:34
401749345,ANL321,10,8,14/11/2019 7:38
401749345,ANL321,10,8,14/11/2019 7:40
459561854,ANL321,10,6,14/11/2019 8:12
142406316,ANL305,10,10,15/11/2019 12:09
413825281,ANL305,20,14,15/11/2019 15:19
401749345,ANL305,10,6,15/11/2019 21:13
401749345,ANL305,10,7,15/11/2019 21:17
401749345,ANL305,10,9,16/11/2019 12:28
401749345,ANL305,10,10,16/11/2019 22:53
401749345,ANL305,10,9,16/11/2019 22:55
401749345,ANL305,10,8,16/11/2019 23:08
401749345,ANL305,10,10,16/11/2019 23:10
401749345,ANL305,10,10,17/11/2019 12:51
401749345,ANL305,10,10,17/11/2019 12:52
269401771,ANL305,20,14,1/11/2019 20:00
413825281,ANL305,20,17,17/11/2019 20:10
401749345,ANL305,10,10,17/11/2019 20:57
585650426,ANL305,10,8,17/11/2019 21:12
401749345,ANL305,10,9,18/11/2019 17:48
31049602,ANL305,20,18,18/11/2019 17:48
31049602,ANL305,20,20,18/11/2019 17:53
31049602,ANL305,10,9,18/11/2019 17:56
401749345,ANL305,20,19,18/11/2019 17:51
